clip,n_notes,tonic,tuning_offset,western_key,pcs_raw,pcs_western,pcs_penta,penta_snapped_pct,penta_marked_pct,western_altered_pct,mean_confidence
e78261db_seg012.wav,18,A#,33.9,A# minor,0.8821,0.6101,0.8821,0.8333,0.1667,0.8889,0.776
e78261db_seg013.wav,20,A#,34.1,A# minor,0.771,1.0,0.771,0.7,0.3,0.95,0.7123
e78261db_seg014.wav,16,A#,34.9,A# minor,0.8952,0.6235,0.8952,0.875,0.125,1.0,0.8276
e78261db_seg015.wav,26,A#,35.7,A# minor,0.978,0.7223,0.978,0.9615,0.0385,1.0,0.872
e78261db_seg016.wav,19,A#,38.0,A# major,0.831,1.0,0.831,0.7895,0.2105,1.0,0.7298
e78261db_seg017.wav,19,A#,34.9,B minor,0.7887,0.1328,0.7887,0.7895,0.2105,0.8947,0.6722
e78261db_seg018.wav,12,A#,34.8,A# minor,0.9603,0.7513,0.9603,0.9167,0.0833,1.0,0.7577
e78261db_seg020.wav,12,A#,43.6,A# major,0.9388,0.9388,0.9388,0.9167,0.0833,1.0,0.7798
e78261db_seg021.wav,13,A#,37.9,A# major,0.8856,0.952,0.8856,0.8462,0.1538,1.0,0.7331
e78261db_seg022.wav,5,C,29.5,C major,0.8003,0.8003,0.8003,0.8,0.2,0.8,0.7692
e78261db_seg023.wav,14,A#,34.4,A# major,0.8327,1.0,0.8327,0.7857,0.2143,1.0,0.7604
e78261db_seg024.wav,16,A#,43.0,A# minor,1.0,0.5261,1.0,1.0,0.0,1.0,0.842
e78261db_seg025.wav,16,F,40.7,F minor,0.8013,0.7945,0.8013,0.75,0.25,1.0,0.6551
e78261db_seg026.wav,10,F,35.2,F major,0.5235,0.6353,0.5235,0.5,0.5,1.0,0.5296
e78261db_seg027.wav,6,E,35.4,F minor,0.6957,0.2826,0.6957,0.6667,0.3333,1.0,0.5868
e78261db_seg028.wav,5,G#,-35.7,G# minor,1.0,1.0,1.0,1.0,0.0,0.8,0.8859
e78261db_seg030.wav,5,D#,-31.3,D minor,1.0,0.3333,1.0,1.0,0.0,1.0,0.8546
e78261db_seg031.wav,8,D,43.4,D# major,0.7655,0.4483,0.7655,0.75,0.25,0.875,0.75
e78261db_seg032.wav,7,D,29.5,D major,0.7851,1.0,0.7851,0.7143,0.2857,0.8571,0.7454
e78261db_seg033.wav,8,D,48.9,D minor,0.721,0.6756,0.721,0.625,0.375,0.875,0.5222
e78261db_seg034.wav,20,D#,-47.5,D# major,0.8721,0.4557,0.8721,0.9,0.1,1.0,0.75
e78261db_seg035.wav,36,G,43.7,D# major,0.9144,0.6873,0.9144,0.9167,0.0833,1.0,0.7877
